ID,D,Rockfraction,S,FractionSand,Sand%,Texture,Texture2,fr
17A20_2,0.001689445,2.600401857,70.36789298,0.03695438,3.695438001,Clay,96.304562,0.03695438
17A20_2,0.001262735,2.556612657,70.36789298,0.036332091,3.633209052,Clay,96.36679095,0.036332091
17A20_2,0.0010017,2.319981816,70.36789298,0.032969323,3.296932334,Clay,96.70306767,0.032969323
17A20_2,0.000858886,2.319981816,70.36789298,0.032969323,3.296932334,Clay,96.70306767,0.032969323
14B20_1,2,86.31178707,86.31178707,1,100,Sand,0,1
14B20_1,1,84.79087452,86.31178707,0.982378855,98.23788546,Sand,1.762114537,0.982378855
14B20_1,0.5,66.08365019,86.31178707,0.765638767,76.56387665,Sand,23.43612335,0.765638767
14B20_1,0.25,49.7338403,86.31178707,0.576211454,57.62114537,Sand,42.37885463,0.576211454
14B20_1,0.15,28.44106464,86.31178707,0.329515419,32.95154185,Sand,67.04845815,0.329515419
14B20_1,0.056822302,18.39004762,86.31178707,0.213065309,21.30653094,Sand,78.69346906,0.213065309
14B20_1,0.041627805,15.62877921,86.31178707,0.181073521,18.10735212,Silt,81.89264788,0.181073521
14B20_1,0.034421958,14.52427184,86.31178707,0.168276806,16.8276806,Silt,83.1723194,0.168276806
14B20_1,0.027212947,12.8675108,86.31178707,0.149081733,14.9081733,Silt,85.0918267,0.149081733
14B20_1,0.017342866,10.65849607,86.31178707,0.123488302,12.34883025,Silt,87.65116975,0.123488302
14B20_1,0.011783552,9.553988704,86.31178707,0.110691587,11.06915872,Silt,88.93084128,0.110691587
14B20_1,0.008021291,8.449481339,86.31178707,0.097894872,9.78948719,Silt,90.21051281,0.097894872
14B20_1,0.005862407,7.897227657,86.31178707,0.091496514,9.149651426,Silt,90.85034857,0.091496514
14B20_1,0.002860688,7.217403374,86.31178707,0.083620136,8.362013601,Silt,91.6379864,0.083620136
14B20_1,0.002042817,6.112896009,86.31178707,0.070823421,7.082342073,Silt,92.91765793,0.070823421
14B20_1,0.001720471,5.814016317,86.31178707,0.06736063,6.736062957,Clay,93.26393704,0.06736063
14B20_1,0.001552813,5.814016317,86.31178707,0.06736063,6.736062957,Clay,93.26393704,0.06736063
14B20_1,0.001282831,5.688212928,86.31178707,0.065903084,6.59030837,Clay,93.40969163,0.065903084
14B20_1,0.001030812,5.261762634,86.31178707,0.060962272,6.096227193,Clay,93.90377281,0.060962272
14B20_1,0.000915432,5.008388645,86.31178707,0.058026705,5.802670544,Clay,94.19732946,0.058026705
53A20_1,2,91.74972315,91.74972315,1,100,Sand,0,1
53A20_1,1,82.77962348,91.74972315,0.902232951,90.22329511,Sand,9.776704888,0.902232951
53A20_1,0.5,70.65337763,91.74972315,0.770066385,77.0066385,Sand,22.9933615,0.770066385
53A20_1,0.25,47.95127353,91.74972315,0.522631261,52.26312613,Sand,47.73687387,0.522631261
53A20_1,0.15,31.11849391,91.74972315,0.33916717,33.91671696,Sand,66.08328304,0.33916717
53A20_1,0.05360329,24.58971185,91.74972315,0.268008567,26.80085673,Sand,73.19914327,0.268008567
53A20_1,0.031579528,23.36937876,91.74972315,0.254707894,25.4707894,Silt,74.5292106,0.254707894
53A20_1,0.028149292,20.92871257,91.74972315,0.228106547,22.81065474,Silt,77.18934526,0.228106547
53A20_1,0.018612474,17.87787983,91.74972315,0.194854864,19.48548641,Silt,80.51451359,0.194854864
53A20_1,0.014580118,15.43721365,91.74972315,0.168253517,16.82535175,Silt,83.17464825,0.168253517
53A20_1,0.011285994,12.99654746,91.74972315,0.141652171,14.16521708,Silt,85.83478292,0.141652171
53A20_1,0.007170703,10.69487721,91.74972315,0.116565771,11.65657709,Silt,88.34342291,0.116565771
53A20_1,0.005120286,8.864377565,91.74972315,0.096614761,9.661476091,Silt,90.33852391,0.096614761
53A20_1,0.002935497,7.364100059,91.74972315,0.080262913,8.026291313,Silt,91.97370869,0.080262913
53A20_1,0.002098642,6.753933511,91.74972315,0.073612576,7.361257647,Silt,92.63874235,0.073612576
53A20_1,0.001753789,6.423711376,91.74972315,0.070013414,7.001341427,Clay,92.99865857,0.070013414
53A20_1,0.001587321,5.813544829,91.74972315,0.063363078,6.336307761,Clay,93.66369224,0.063363078
53A20_1,0.001131006,5.813544829,91.74972315,0.063363078,6.336307761,Clay,93.66369224,0.063363078
53A20_1,0.001045126,5.203378282,91.74972315,0.056712741,5.671274096,Clay,94.3287259,0.056712741
53A20_1,0.000926796,4.92343387,91.74972315,0.053661566,5.36615665,Clay,94.63384335,0.053661566
57A20_2,2,94.17420814,94.17420814,1,100,Sand,0,1
57A20_2,1,83.25791855,94.17420814,0.884084084,88.40840841,Sand,11.59159159,0.884084084
